track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,playlist,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness,key
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),B.o.B,73,2041003,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",76,B.o.B Presents: The Adventures of Bobby Ray,pop,0.66,0.377,0.867,93.033,-4.285,0.116,0,0.0368,0.11,6
0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,Bruno Mars,89,45397506,"['dance pop', 'pop']",77,24K Magic,pop,0.578,0.301,0.574,174.152,-6.209,0.0454,0,0.083,0.196,2
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,89,45397506,"['dance pop', 'pop']",85,24K Magic,pop,0.853,0.86,0.56,134.066,-4.961,0.0406,0,0.0944,0.013,1
5XMkENs3GfeRza8MfVAhjK,Finesse,Bruno Mars,89,45397506,"['dance pop', 'pop']",70,24K Magic,pop,0.741,0.939,0.798,104.953,-5.342,0.0718,0,0.0232,0.00781,5
2tJulUYLDKOg9XrtVkMgcJ,Grenade,Bruno Mars,89,45397506,"['dance pop', 'pop']",79,Doo-Wops & Hooligans,pop,0.704,0.245,0.558,110.444,-7.273,0.0542,0,0.107,0.148,2
0PG9fbaaHFHfre2gUVo7AN,Please Me,Cardi B,82,20923559,"['dance pop', 'pop', 'rap']",75,Please Me,pop,0.747,0.65,0.57,133.992,-6.711,0.081,0,0.0832,0.0642,1
3XJpQ65m90QFmogv8MH1pG,Take You Down,Chris Brown,89,18079005,"['dance pop', 'r&b']",0,Exclusive,pop,0.387,0.589,0.631,59.409,-5.79,0.0807,0,0.0666,0.126,11
0lHAMNU8RGiIObScrsRgmP,Titanium (feat. Sia),David Guetta,90,25265058,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",70,Nothing but the Beat 2.0,pop,0.604,0.301,0.788,126.06,-3.673,0.103,0.153,0.127,0.0678,0
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,88,23853054,"['dance pop', 'pop']",79,Hot Pink,pop,0.787,0.779,0.673,110.962,-4.583,0.159,3.35E-06,0.0904,0.264,11
0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Flo Rida,79,8739857,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",82,Mail on Sunday,pop,0.918,0.304,0.609,128.008,-5.64,0.0791,0,0.139,0.0928,10
6ft9PAgNOjmZ2kFVP7LGqb,Can't Take My Eyes off You,Frankie Valli,62,226711,"['adult standards', 'bubblegum pop', 'mellow gold', 'soft rock']",71,The Very Best of Frankie Valli & The 4 Seasons,pop,0.575,0.536,0.764,123.821,-7.448,0.0746,1.07E-05,0.0692,0.566,4
0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,70,1420036,"['dance pop', 'pop rap']",83,The Papercut Chronicles II,pop,0.646,0.796,0.795,89.99,-3.293,0.0976,0,0.267,0.0319,9
